,R_COUNTRY,R_ADDR,R_CITY,R_STATE,R_COUNTY,ADDRESS,GEO,lat,long
0,UNITED STATES,3000 C STREET STE 301,ANCHORAGE,ALASKA,ANCHORAGE,"3000 C STREET STE 301, ANCHORAGE, ALASKA","Anchorage, Alaska, 99501, United States",61.2163129,-149.894852
1,UNITED STATES,1800 CARILLION BLVD,CINCINNATI,Ohio,HAMILTON,"1800 CARILLION BLVD, CINCINNATI, Ohio","Cincinnati, Hamilton County, Ohio, United States",39.1014537,-84.5124602
2,UNITED STATES,3311 W STATE ST,BOISE,IDAHO,ADA,"3311 W STATE ST, BOISE, IDAHO","Idaho Transportation Department and Law Enforcement, 3311, West State Street, North End, Boise, Ada County, Idaho, 83703, United States",43.63513775,-116.23090013172964
3,UNITED STATES,2401 COLONIAL DR,HELENA,MONTANA,LEWIS AND CLARK,"2401 COLONIAL DR, HELENA, MONTANA","Colonial Drive, Helena, Lewis and Clark County, Montana, 59604, United States",46.5727032,-111.9763437
4,UNITED STATES,2400 N LINCOLN BLVD,OKLAHOMA CITY,OKLAHOMA,OKLAHOMA,"2400 N LINCOLN BLVD, OKLAHOMA CITY, OKLAHOMA","2400, North Lincoln Boulevard, Oklahoma City, Oklahoma County, Oklahoma, 73105, United States",35.494713,-97.5054555
5,UNITED STATES,288 RHEEM BLVD,MORAGA,CALIFORNIA,CONTRA COSTA,"288 RHEEM BLVD, MORAGA, CALIFORNIA","288, Rheem Boulevard, Rheem Valley, Moraga, Contra Costa County, California, 94556, United States",37.86340690738063,-122.13398103411726
6,UNITED STATES,523 NIOBRARA AVENUE,HEMINGFORD,NEBRASKA,BOX BUTTE,"523 NIOBRARA AVENUE, HEMINGFORD, NEBRASKA","Hemingford, Box Butte County, Nebraska, United States",42.3215777,-103.0728713
7,UNITED STATES,405 N HOGAN RD,MONMOUTH,OREGON,POLK,"405 N HOGAN RD, MONMOUTH, OREGON","Hogan Road, Monmouth, Polk County, Oregon, 97351, United States",44.8518834,-123.2197196
8,UNITED STATES,204 WEST MAIN STREET,HINTON,OKLAHOMA,CADDO,"204 WEST MAIN STREET, HINTON, OKLAHOMA","West Main Street, Hinton, Caddo County, Oklahoma, 73047, United States",35.471428,-98.357985
9,UNITED STATES,777 CANAL VIEW BLVD,ROCHESTER,NEW YORK,MONROE,"777 CANAL VIEW BLVD, ROCHESTER, NEW YORK","777, Canal View Boulevard, City of Rochester, Monroe County, New York, 14623, United States",43.09788845,-77.58775372814958
10,UNITED STATES,1000 ASSEMBLY ST,COLUMBIA,SOUTH CAROLINA,RICHLAND,"1000 ASSEMBLY ST, COLUMBIA, SOUTH CAROLINA","Rembert Dennis Building, 1000, Assembly Street, The Vista, Columbia, Richland County, South Carolina, 29201, United States",33.998987299999996,-81.03338095726939
11,UNITED STATES,3951 WESTERRE PKWY,HENRICO,VIRGINIA,HENRICO,"3951 WESTERRE PKWY, HENRICO, VIRGINIA","Tridium, 3951, Westerre Parkway, Erin Shades, Short Pump, Henrico County, Virginia, 23233, United States",37.6441718,-77.5759518
12,UNITED STATES,6702 BROADWAY ST,GALVESTON,TEXAS,GALVESTON,"6702 BROADWAY ST, GALVESTON, TEXAS","6702, Broadway Street, Galveston, Galveston County, Texas, 77554, United States",29.289126504679775,-94.8454002838994
13,UNITED STATES,12975 WORLDGATE DR STE 2413,HERNDON,VIRGINIA,FAIRFAX,"12975 WORLDGATE DR STE 2413, HERNDON, VIRGINIA","Herndon, Fairfax County, Virginia, 20170, United States",38.9695316,-77.3859479
14,UNITED STATES,600 KAPIOLANI BLVD STE 302,HONOLULU,HAWAII,HONOLULU,"600 KAPIOLANI BLVD STE 302, HONOLULU, HAWAII","Honolulu, Honolulu County, Hawaii, 96813, United States",21.304547,-157.855676
15,UNITED STATES,1840 NE 10TH AVE,PAYETTE,IDAHO,PAYETTE,"1840 NE 10TH AVE, PAYETTE, IDAHO","1840, Northeast 10th Avenue, Payette, Payette County, Idaho, 83661, United States",44.057814,-116.92075
16,UNITED STATES,397 WEST AVE,STAMFORD,CONNECTICUT,FAIRFIELD,"397 WEST AVE, STAMFORD, CONNECTICUT","397, West Avenue, Stamford, Fairfield County, Connecticut, 06902, United States",41.0396422,-73.5599131
17,UNITED STATES,8300 BOONE BLVD STE 800,TYSONS CORNER,VIRGINIA,FAIRFAX,"8300 BOONE BLVD STE 800, TYSONS CORNER, VIRGINIA","Tysons, Fairfax County, Virginia, United States",38.916509000000005,-77.2257977704366
18,UNITED STATES,747 OHIO AVE,LONG BEACH,CALIFORNIA,LOS ANGELES,"747 OHIO AVE, LONG BEACH, CALIFORNIA","747, Ohio Avenue, Long Beach, Los Angeles County, CAL Fire Southern Region, California, 90804, United States",33.77619353061225,-118.16014940816326
